,Unnamed: 0,sequence,sid,pos_acts_toeachother,neg_acts_toeachother,pos_acts_together,neg_acts_together,pos_char1_acts,neg_char1_acts,pos_char2_acts,neg_char2_acts,pos,neg,filename,unique_ID,29:posFramesFired,30:negFramesFired,31:otherFramesFired,32:posFramewrtCharFired,33:negFramewrtCharFired,34:otherFrameswrtCharFired,manualLabel
56,56,9,s19,0,0,0,0,0,0,0,0,0,0,agee.death.3.7.sent,agee.death.3.7.sents19,1,0,1,1,0,1,p
57,57,9,s20,0,0,0,0,0,0,0,0,0,0,agee.death.3.7.sent,agee.death.3.7.sents20,2,0,0,2,0,0,p
58,58,9,s54,0,0,0,0,0,0,0,0,0,0,agee.death.3.7.sent,agee.death.3.7.sents54,0,0,1,0,0,1,p
59,59,9,s59,0,0,0,1,0,0,0,0,0,2,agee.death.3.7.sent,agee.death.3.7.sents59,0,0,1,0,0,0,n
60,60,9,s60,0,0,0,0,0,0,0,0,0,0,agee.death.3.7.sent,agee.death.3.7.sents60,0,0,0,0,0,0,p
61,61,9,s71,0,0,0,0,0,1,0,0,0,2,agee.death.3.7.sent,agee.death.3.7.sents71,0,2,0,0,0,0,p
62,62,10,s26,0,0,0,0,0,0,0,0,0,0,agee.death.4.8.sent,agee.death.4.8.sents26,0,0,1,0,0,1,p
63,63,10,s27,0,0,0,0,0,0,0,0,0,0,agee.death.4.8.sent,agee.death.4.8.sents27,0,0,0,0,0,0,p
64,64,10,s32,0,0,0,0,0,0,0,0,1,0,agee.death.4.8.sent,agee.death.4.8.sents32,0,0,0,0,0,0,p
65,65,10,s33,0,0,0,0,0,0,0,0,2,0,agee.death.4.8.sent,agee.death.4.8.sents33,0,0,0,0,0,0,p
66,66,10,s34,0,0,0,0,0,0,0,0,0,0,agee.death.4.8.sent,agee.death.4.8.sents34,0,0,0,0,0,0,p
67,67,11,s22,0,0,0,0,0,0,0,0,0,0,agee.death.4.9.sent,agee.death.4.9.sents22,2,0,2,1,0,1,p
68,68,11,s29,0,0,0,0,0,0,0,0,0,0,agee.death.4.9.sent,agee.death.4.9.sents29,0,0,0,0,0,0,p
69,69,11,s30,0,0,0,0,0,0,0,0,0,1,agee.death.4.9.sent,agee.death.4.9.sents30,0,0,0,0,0,0,p
70,70,11,s34,0,0,0,0,0,0,0,0,0,0,agee.death.4.9.sent,agee.death.4.9.sents34,0,0,0,0,0,0,p
71,71,11,s42,0,0,0,0,0,0,0,0,0,0,agee.death.4.9.sent,agee.death.4.9.sents42,0,0,0,0,0,0,p
72,72,11,s43,0,0,0,0,0,0,0,0,0,0,agee.death.4.9.sent,agee.death.4.9.sents43,0,0,0,0,0,0,p
73,73,11,s71,0,0,0,1,0,0,0,1,0,1,agee.death.4.9.sent,agee.death.4.9.sents71,0,2,0,0,2,0,p
74,74,12,s11,0,0,0,0,0,0,0,0,1,0,ahmed.border.0.2.sent,ahmed.border.0.2.sents11,2,0,2,2,0,2,p
75,75,12,s12,0,0,0,0,0,0,0,0,0,1,ahmed.border.0.2.sent,ahmed.border.0.2.sents12,0,1,2,0,1,2,p
76,76,12,s13,0,0,0,1,0,0,1,0,1,1,ahmed.border.0.2.sent,ahmed.border.0.2.sents13,0,0,3,0,0,3,p
77,77,12,s14,0,0,0,0,0,0,0,0,0,0,ahmed.border.0.2.sent,ahmed.border.0.2.sents14,0,0,1,0,0,1,p
78,78,12,s15,0,0,0,0,0,0,0,0,0,0,ahmed.border.0.2.sent,ahmed.border.0.2.sents15,1,0,2,1,0,2,p
79,79,13,s12,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents12,3,0,0,0,0,0,p
80,80,13,s18,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents18,1,0,0,0,0,0,p
81,81,13,s19,0,0,1,0,0,0,0,0,1,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents19,1,0,0,1,0,0,p
82,82,13,s29,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents29,1,0,0,1,0,0,p
83,83,13,s38,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents38,0,0,0,0,0,0,p
84,84,13,s53,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents53,0,0,0,0,0,0,p
85,85,13,s59,0,0,0,0,0,0,0,0,0,0,aidoo.changes.1.4.sent,aidoo.changes.1.4.sents59,0,0,0,0,0,0,p
86,86,14,s3,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents3,1,0,0,1,0,0,p
87,87,14,s4,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents4,0,1,2,0,1,2,p
88,88,14,s5,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents5,1,1,0,1,1,0,p
89,89,14,s6,0,0,0,0,0,0,0,0,0,1,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents6,0,0,0,0,0,0,p
90,90,14,s8,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents8,0,0,0,0,0,0,p
91,91,14,s18,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents18,1,0,0,0,0,0,p
92,92,14,s19,0,0,1,0,0,0,0,1,1,1,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents19,1,0,0,1,0,0,p
93,93,14,s24,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents24,2,0,0,1,0,0,p
94,94,14,s26,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents26,0,0,0,0,0,0,p
95,95,14,s27,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents27,3,0,1,3,0,1,p
96,96,14,s28,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents28,0,0,1,0,0,1,p
97,97,14,s30,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents30,1,0,1,1,0,1,p
98,98,14,s32,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents32,1,0,1,1,0,1,p
99,99,14,s34,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents34,1,0,1,1,0,1,p
100,100,14,s36,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents36,0,0,1,0,0,1,p
101,101,14,s42,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents42,0,0,0,0,0,0,p
102,102,14,s44,0,0,1,0,0,1,0,0,0,1,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents44,0,1,1,0,1,1,p
103,103,14,s45,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents45,0,0,0,0,0,0,n
104,104,14,s50,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents50,0,0,0,0,0,0,n
105,105,14,s56,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents56,0,0,0,0,0,0,n
106,106,14,s58,0,0,0,0,0,0,0,0,0,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents58,1,0,0,1,0,0,n
107,107,14,s62,0,0,1,0,0,0,0,0,0,1,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents62,0,0,0,0,0,0,n
108,108,14,s63,0,1,0,1,0,0,0,0,0,1,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents63,0,0,0,0,0,0,n
109,109,14,s64,0,0,0,0,0,0,0,0,2,0,aidoo.changes.4.5.sent,aidoo.changes.4.5.sents64,4,0,0,4,0,0,p
110,110,15,s0,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents0,0,0,1,0,0,1,p
111,111,15,s14,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents14,1,0,1,1,0,1,p
112,112,15,s15,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents15,0,0,0,0,0,0,p
113,113,15,s21,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents21,0,0,0,0,0,0,p
114,114,15,s22,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents22,0,0,0,0,0,0,p
115,115,15,s27,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents27,1,0,1,0,0,0,p
116,116,15,s30,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents30,0,0,1,0,0,0,p
117,117,15,s35,0,0,0,0,0,0,0,0,0,1,albee.dream.1.3.sent,albee.dream.1.3.sents35,0,0,1,0,0,1,p
118,118,15,s39,0,0,0,0,0,0,0,0,1,0,albee.dream.1.3.sent,albee.dream.1.3.sents39,0,0,1,0,0,0,p
119,119,15,s68,0,0,0,1,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents68,0,0,1,0,0,0,p
120,120,15,s75,0,0,0,0,0,0,0,0,0,0,albee.dream.1.3.sent,albee.dream.1.3.sents75,0,0,1,0,0,0,p
121,121,16,s31,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents31,1,0,0,1,0,0,p
122,122,16,s34,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents34,0,0,0,0,0,0,p
123,123,16,s37,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents37,0,0,0,0,0,0,p
124,124,16,s38,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents38,1,0,0,1,0,0,p
125,125,16,s50,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents50,0,0,0,0,0,0,p
126,126,16,s69,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents69,0,0,0,0,0,0,p
127,127,16,s71,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents71,0,0,0,0,0,0,p
128,128,16,s77,0,0,0,0,0,0,0,0,0,0,albee.dream.2.4.sent,albee.dream.2.4.sents77,0,0,0,0,0,0,p
129,129,17,s10,0,0,0,0,0,0,0,0,0,0,albee.dream.3.4.sent,albee.dream.3.4.sents10,0,0,0,0,0,0,p
130,130,17,s11,0,0,0,0,0,0,0,0,0,1,albee.dream.3.4.sent,albee.dream.3.4.sents11,0,0,0,0,0,0,p
131,131,17,s13,0,0,0,0,0,0,0,0,0,0,albee.dream.3.4.sent,albee.dream.3.4.sents13,0,0,0,0,0,0,p
132,132,17,s17,0,0,0,0,0,0,0,0,0,0,albee.dream.3.4.sent,albee.dream.3.4.sents17,1,0,0,1,0,0,n
133,133,17,s32,0,0,0,1,0,0,0,0,0,1,albee.dream.3.4.sent,albee.dream.3.4.sents32,1,0,0,1,0,0,n
134,134,17,s39,0,0,0,0,0,0,0,0,2,0,albee.dream.3.4.sent,albee.dream.3.4.sents39,0,0,1,0,0,0,n
135,135,17,s76,0,0,0,0,0,0,0,1,0,0,albee.dream.3.4.sent,albee.dream.3.4.sents76,0,0,0,0,0,0,n
136,136,17,s79,0,0,0,0,1,0,0,0,0,0,albee.dream.3.4.sent,albee.dream.3.4.sents79,1,0,1,1,0,1,n
137,137,18,s10,0,0,0,0,0,0,0,0,0,0,alcott.little.3.5.sent,alcott.little.3.5.sents10,1,0,0,0,0,0,p
138,138,18,s14,0,0,0,0,0,0,0,0,0,0,alcott.little.3.5.sent,alcott.little.3.5.sents14,0,0,1,0,0,0,p
139,139,18,s16,0,0,1,0,0,0,0,0,1,0,alcott.little.3.5.sent,alcott.little.3.5.sents16,1,0,1,1,0,1,p
140,140,18,s27,0,0,0,1,0,0,0,0,0,1,alcott.little.3.5.sent,alcott.little.3.5.sents27,0,0,0,0,0,0,p
141,141,18,s38,0,0,0,0,0,0,0,0,1,0,alcott.little.3.5.sent,alcott.little.3.5.sents38,1,0,0,0,0,0,p
142,142,18,s47,0,0,0,0,0,0,1,0,1,0,alcott.little.3.5.sent,alcott.little.3.5.sents47,1,0,0,0,0,0,p
143,143,18,s48,0,0,0,0,0,0,1,0,0,0,alcott.little.3.5.sent,alcott.little.3.5.sents48,0,0,0,0,0,0,p
144,144,18,s51,0,0,0,0,0,0,0,0,0,0,alcott.little.3.5.sent,alcott.little.3.5.sents51,0,0,0,0,0,0,n
145,145,19,s4,0,0,0,0,0,0,0,0,1,1,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents4,0,0,0,0,0,0,p
146,146,19,s5,0,0,0,0,0,0,2,0,2,1,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents5,0,0,0,0,0,0,p
147,147,19,s6,0,0,0,0,0,0,0,1,0,1,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents6,0,0,0,0,0,0,p
148,148,19,s7,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents7,1,0,0,1,0,0,p
149,149,19,s20,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents20,0,0,0,0,0,0,p
150,150,19,s21,0,0,0,1,0,0,0,0,1,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents21,2,2,0,2,2,0,p
151,151,19,s24,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents24,1,0,0,1,0,0,p
152,152,19,s30,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents30,0,0,0,0,0,0,p
153,153,19,s41,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents41,0,0,0,0,0,0,p
154,154,19,s42,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents42,1,0,0,1,0,0,p
155,155,19,s46,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents46,0,0,0,0,0,0,p
156,156,19,s52,0,0,0,0,0,0,0,0,0,0,alighieri.inferno.0.3.sent,alighieri.inferno.0.3.sents52,0,1,0,0,0,0,p
157,157,20,s3,0,0,1,0,0,0,0,0,3,0,allende.house.1.2.sent,allende.house.1.2.sents3,0,0,1,0,0,0,p
158,158,20,s6,0,0,0,1,0,0,0,0,0,2,allende.house.1.2.sent,allende.house.1.2.sents6,0,1,1,0,1,1,p
159,159,20,s14,0,0,0,0,0,0,0,0,0,0,allende.house.1.2.sent,allende.house.1.2.sents14,1,0,0,1,0,0,p
160,160,20,s17,0,0,0,0,0,0,0,0,0,0,allende.house.1.2.sent,allende.house.1.2.sents17,1,0,0,0,0,0,p
161,161,20,s27,0,0,0,0,0,0,0,0,0,0,allende.house.1.2.sent,allende.house.1.2.sents27,1,1,0,0,1,0,p
162,162,20,s28,0,0,0,0,0,0,0,0,0,0,allende.house.1.2.sent,allende.house.1.2.sents28,0,0,0,0,0,0,n
163,163,20,s36,0,0,0,0,0,0,0,0,0,0,allende.house.1.2.sent,allende.house.1.2.sents36,0,0,0,0,0,0,n
164,164,20,s37,0,0,0,0,0,0,0,0,0,0,allende.house.1.2.sent,allende.house.1.2.sents37,0,0,0,0,0,0,n
165,165,20,s42,0,0,0,0,0,0,0,0,0,0,allende.house.1.2.sent,allende.house.1.2.sents42,0,0,0,0,0,0,p
166,166,20,s50,0,0,0,0,0,0,0,0,1,0,allende.house.1.2.sent,allende.house.1.2.sents50,2,0,1,2,0,1,p
167,167,20,s51,0,0,0,0,0,0,0,0,0,0,allende.house.1.2.sent,allende.house.1.2.sents51,2,0,1,0,0,1,p
168,168,21,s16,0,0,0,0,0,0,0,0,0,0,allende.house.2.4.sent,allende.house.2.4.sents16,0,0,1,0,0,1,p
169,169,21,s27,0,0,0,0,0,0,0,0,2,0,allende.house.2.4.sent,allende.house.2.4.sents27,1,1,0,0,0,0,n
170,170,21,s28,0,0,0,0,0,0,0,0,0,0,allende.house.2.4.sent,allende.house.2.4.sents28,0,0,0,0,0,0,n
171,171,21,s29,0,0,0,0,0,0,0,0,0,0,allende.house.2.4.sent,allende.house.2.4.sents29,0,0,0,0,0,0,n
172,172,21,s30,0,0,0,0,0,0,0,0,0,0,allende.house.2.4.sent,allende.house.2.4.sents30,0,0,0,0,0,0,n
173,173,22,s1,0,0,0,0,0,0,0,0,0,0,allende.house.2.5.sent,allende.house.2.5.sents1,1,0,2,1,0,2,p
174,174,22,s51,0,0,0,0,0,0,0,0,0,1,allende.house.2.5.sent,allende.house.2.5.sents51,2,0,1,1,0,0,p
175,175,22,s69,0,0,0,0,0,0,0,1,0,1,allende.house.2.5.sent,allende.house.2.5.sents69,0,0,0,0,0,0,p
176,176,22,s70,0,0,0,0,0,0,0,0,0,0,allende.house.2.5.sent,allende.house.2.5.sents70,0,0,1,0,0,1,p
177,177,22,s72,0,0,0,0,0,0,0,0,0,0,allende.house.2.5.sent,allende.house.2.5.sents72,0,0,0,0,0,0,p
178,178,22,s73,0,0,0,0,0,0,1,0,1,0,allende.house.2.5.sent,allende.house.2.5.sents73,1,0,0,0,0,0,p
179,179,22,s74,0,0,0,0,0,0,0,0,0,0,allende.house.2.5.sent,allende.house.2.5.sents74,0,0,1,0,0,1,p
180,180,23,s31,0,0,0,0,0,0,0,0,2,0,allende.house.2.8.sent,allende.house.2.8.sents31,1,0,0,1,0,0,n
181,181,23,s32,0,0,0,0,0,0,0,0,0,0,allende.house.2.8.sent,allende.house.2.8.sents32,0,0,0,0,0,0,n
182,182,23,s35,0,0,0,0,0,0,0,2,0,2,allende.house.2.8.sent,allende.house.2.8.sents35,0,1,0,0,1,0,n
183,183,23,s44,0,0,0,1,0,0,0,0,0,1,allende.house.2.8.sent,allende.house.2.8.sents44,1,1,0,0,1,0,n
184,184,23,s51,0,0,0,0,0,0,0,0,0,1,allende.house.2.8.sent,allende.house.2.8.sents51,2,0,1,2,0,0,n
185,185,23,s60,0,0,0,0,0,0,0,0,0,0,allende.house.2.8.sent,allende.house.2.8.sents60,0,0,0,0,0,0,p
186,186,23,s66,0,0,0,0,0,0,2,0,1,1,allende.house.2.8.sent,allende.house.2.8.sents66,0,0,0,0,0,0,p
187,187,23,s68,0,0,0,0,0,0,0,0,0,0,allende.house.2.8.sent,allende.house.2.8.sents68,0,0,1,0,0,1,p
188,188,24,s17,0,0,0,0,0,0,0,0,0,0,allende.house.2.10.sent,allende.house.2.10.sents17,1,0,0,0,0,0,p
189,189,24,s31,0,0,0,0,0,0,0,0,2,0,allende.house.2.10.sent,allende.house.2.10.sents31,1,0,0,1,0,0,n
190,190,24,s35,0,0,0,0,0,0,0,1,0,0,allende.house.2.10.sent,allende.house.2.10.sents35,0,1,0,0,0,0,n
